id_new,name,price_new,date_new,id_old,price_old,date_old,change
1,A Light in the Attic,51.77,2026-03-24,201,59.77,2026-03-23,-13.384641124309853
1,A Light in the Attic,51.77,2026-03-24,481,54.77,2026-03-23,-5.477451159393828
2,Tipping the Velvet,53.74,2026-03-24,202,57.74,2026-03-23,-6.927606511950121
2,Tipping the Velvet,53.74,2026-03-24,282,62.74,2026-03-23,-14.344915524386357
2,Tipping the Velvet,53.74,2026-03-24,482,61.74,2026-03-23,-12.957563977972143
3,Soumission,50.1,2026-03-24,123,51.1,2026-03-23,-1.9569471624266144
3,Soumission,50.1,2026-03-24,283,57.1,2026-03-23,-12.259194395796849
4,Sharp Objects,47.82,2026-03-24,124,51.82,2026-03-23,-7.71902740254728
4,Sharp Objects,47.82,2026-03-24,164,48.82,2026-03-23,-2.0483408439164275
4,Sharp Objects,47.82,2026-03-24,204,50.82,2026-03-23,-5.90318772136954
4,Sharp Objects,47.82,2026-03-24,284,55.82,2026-03-23,-14.331780723754928
5,Sapiens: A Brief History of Humankind,54.23,2026-03-24,165,56.23,2026-03-23,-3.5568202027387517
6,The Requiem Red,22.65,2026-03-24,126,23.65,2026-03-23,-4.2283298097251585
6,The Requiem Red,22.65,2026-03-24,206,32.65,2026-03-23,-30.62787136294028
6,The Requiem Red,22.65,2026-03-24,286,27.65,2026-03-23,-18.083182640144667
6,The Requiem Red,22.65,2026-03-24,486,25.65,2026-03-23,-11.695906432748538
7,The Dirty Little Secrets of Getting Your Dream Job,33.34,2026-03-24,287,42.34,2026-03-23,-21.256495040151155
7,The Dirty Little Secrets of Getting Your Dream Job,33.34,2026-03-24,487,41.34,2026-03-23,-19.35171746492501
8,"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93,2026-03-24,168,23.93,2026-03-23,-25.073129962390304
9,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.6,2026-03-24,489,24.6,2026-03-23,-8.130081300813007
10,The Black Maria,52.15,2026-03-24,290,62.15,2026-03-23,-16.090104585679807
11,"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,2026-03-24,171,19.990000000000002,2026-03-23,-30.015007503751885
11,"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,2026-03-24,251,22.990000000000002,2026-03-23,-39.147455415398
11,"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,2026-03-24,291,22.990000000000002,2026-03-23,-39.147455415398
12,Shakespeare's Sonnets,20.66,2026-03-24,132,22.66,2026-03-23,-8.8261253309797
12,Shakespeare's Sonnets,20.66,2026-03-24,172,22.66,2026-03-23,-8.8261253309797
12,Shakespeare's Sonnets,20.66,2026-03-24,292,21.66,2026-03-23,-4.616805170821791
12,Shakespeare's Sonnets,20.66,2026-03-24,492,28.66,2026-03-23,-27.91346824842987
13,Set Me Free,17.46,2026-03-24,213,22.46,2026-03-23,-22.261798753339267
13,Set Me Free,17.46,2026-03-24,493,20.46,2026-03-23,-14.662756598240467
14,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,2026-03-24,134,55.29,2026-03-23,-5.425935973955507
14,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,2026-03-24,174,55.29,2026-03-23,-5.425935973955507
14,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,2026-03-24,294,62.29,2026-03-23,-16.05394124257505
15,Rip it Up and Start Again,35.02,2026-03-24,135,45.02,2026-03-23,-22.21235006663705
15,Rip it Up and Start Again,35.02,2026-03-24,255,37.02,2026-03-23,-5.4024851431658565
16,"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25,2026-03-24,296,64.25,2026-03-23,-10.894941634241246
17,Olio,23.88,2026-03-24,137,26.88,2026-03-23,-11.160714285714286
18,Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,2026-03-24,138,40.59,2026-03-23,-7.390983000739097
19,Libertarianism for Beginners,51.33,2026-03-24,179,53.33,2026-03-23,-3.750234389649353
19,Libertarianism for Beginners,51.33,2026-03-24,259,57.33,2026-03-23,-10.465724751439037
20,It's Only the Himalayas,45.17,2026-03-24,220,54.17,2026-03-23,-16.614362193095808
20,It's Only the Himalayas,45.17,2026-03-24,300,50.17,2026-03-23,-9.966115208291807
21,A Light in the Attic,51.77,2026-03-24,201,59.77,2026-03-23,-13.384641124309853
21,A Light in the Attic,51.77,2026-03-24,481,54.77,2026-03-23,-5.477451159393828
22,Tipping the Velvet,53.74,2026-03-24,202,57.74,2026-03-23,-6.927606511950121
22,Tipping the Velvet,53.74,2026-03-24,282,62.74,2026-03-23,-14.344915524386357
22,Tipping the Velvet,53.74,2026-03-24,482,61.74,2026-03-23,-12.957563977972143
23,Soumission,50.1,2026-03-24,123,51.1,2026-03-23,-1.9569471624266144
23,Soumission,50.1,2026-03-24,283,57.1,2026-03-23,-12.259194395796849
24,Sharp Objects,47.82,2026-03-24,124,51.82,2026-03-23,-7.71902740254728
24,Sharp Objects,47.82,2026-03-24,164,48.82,2026-03-23,-2.0483408439164275
24,Sharp Objects,47.82,2026-03-24,204,50.82,2026-03-23,-5.90318772136954
24,Sharp Objects,47.82,2026-03-24,284,55.82,2026-03-23,-14.331780723754928
25,Sapiens: A Brief History of Humankind,54.23,2026-03-24,165,56.23,2026-03-23,-3.5568202027387517
26,The Requiem Red,22.65,2026-03-24,126,23.65,2026-03-23,-4.2283298097251585
26,The Requiem Red,22.65,2026-03-24,206,32.65,2026-03-23,-30.62787136294028
26,The Requiem Red,22.65,2026-03-24,286,27.65,2026-03-23,-18.083182640144667
26,The Requiem Red,22.65,2026-03-24,486,25.65,2026-03-23,-11.695906432748538
27,The Dirty Little Secrets of Getting Your Dream Job,33.34,2026-03-24,287,42.34,2026-03-23,-21.256495040151155
27,The Dirty Little Secrets of Getting Your Dream Job,33.34,2026-03-24,487,41.34,2026-03-23,-19.35171746492501
28,"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93,2026-03-24,168,23.93,2026-03-23,-25.073129962390304
29,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.6,2026-03-24,489,24.6,2026-03-23,-8.130081300813007
30,The Black Maria,52.15,2026-03-24,290,62.15,2026-03-23,-16.090104585679807
31,"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,2026-03-24,171,19.990000000000002,2026-03-23,-30.015007503751885
31,"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,2026-03-24,251,22.990000000000002,2026-03-23,-39.147455415398
31,"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,2026-03-24,291,22.990000000000002,2026-03-23,-39.147455415398
32,Shakespeare's Sonnets,20.66,2026-03-24,132,22.66,2026-03-23,-8.8261253309797
32,Shakespeare's Sonnets,20.66,2026-03-24,172,22.66,2026-03-23,-8.8261253309797
32,Shakespeare's Sonnets,20.66,2026-03-24,292,21.66,2026-03-23,-4.616805170821791
32,Shakespeare's Sonnets,20.66,2026-03-24,492,28.66,2026-03-23,-27.91346824842987
33,Set Me Free,17.46,2026-03-24,213,22.46,2026-03-23,-22.261798753339267
33,Set Me Free,17.46,2026-03-24,493,20.46,2026-03-23,-14.662756598240467
34,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,2026-03-24,134,55.29,2026-03-23,-5.425935973955507
34,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,2026-03-24,174,55.29,2026-03-23,-5.425935973955507
34,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,2026-03-24,294,62.29,2026-03-23,-16.05394124257505
35,Rip it Up and Start Again,35.02,2026-03-24,135,45.02,2026-03-23,-22.21235006663705
35,Rip it Up and Start Again,35.02,2026-03-24,255,37.02,2026-03-23,-5.4024851431658565
36,"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25,2026-03-24,296,64.25,2026-03-23,-10.894941634241246
37,Olio,23.88,2026-03-24,137,26.88,2026-03-23,-11.160714285714286
38,Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,2026-03-24,138,40.59,2026-03-23,-7.390983000739097
39,Libertarianism for Beginners,51.33,2026-03-24,179,53.33,2026-03-23,-3.750234389649353
39,Libertarianism for Beginners,51.33,2026-03-24,259,57.33,2026-03-23,-10.465724751439037
40,It's Only the Himalayas,45.17,2026-03-24,220,54.17,2026-03-23,-16.614362193095808
40,It's Only the Himalayas,45.17,2026-03-24,300,50.17,2026-03-23,-9.966115208291807
41,A Light in the Attic,51.77,2026-03-24,201,59.77,2026-03-23,-13.384641124309853
41,A Light in the Attic,51.77,2026-03-24,481,54.77,2026-03-23,-5.477451159393828
42,Tipping the Velvet,53.74,2026-03-24,202,57.74,2026-03-23,-6.927606511950121
42,Tipping the Velvet,53.74,2026-03-24,282,62.74,2026-03-23,-14.344915524386357
42,Tipping the Velvet,53.74,2026-03-24,482,61.74,2026-03-23,-12.957563977972143
43,Soumission,50.1,2026-03-24,123,51.1,2026-03-23,-1.9569471624266144
43,Soumission,50.1,2026-03-24,283,57.1,2026-03-23,-12.259194395796849
44,Sharp Objects,47.82,2026-03-24,124,51.82,2026-03-23,-7.71902740254728
44,Sharp Objects,47.82,2026-03-24,164,48.82,2026-03-23,-2.0483408439164275
44,Sharp Objects,47.82,2026-03-24,204,50.82,2026-03-23,-5.90318772136954
44,Sharp Objects,47.82,2026-03-24,284,55.82,2026-03-23,-14.331780723754928
45,Sapiens: A Brief History of Humankind,54.23,2026-03-24,165,56.23,2026-03-23,-3.5568202027387517
46,The Requiem Red,22.65,2026-03-24,126,23.65,2026-03-23,-4.2283298097251585
46,The Requiem Red,22.65,2026-03-24,206,32.65,2026-03-23,-30.62787136294028
46,The Requiem Red,22.65,2026-03-24,286,27.65,2026-03-23,-18.083182640144667
46,The Requiem Red,22.65,2026-03-24,486,25.65,2026-03-23,-11.695906432748538
47,The Dirty Little Secrets of Getting Your Dream Job,33.34,2026-03-24,287,42.34,2026-03-23,-21.256495040151155
47,The Dirty Little Secrets of Getting Your Dream Job,33.34,2026-03-24,487,41.34,2026-03-23,-19.35171746492501
48,"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93,2026-03-24,168,23.93,2026-03-23,-25.073129962390304
49,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.6,2026-03-24,489,24.6,2026-03-23,-8.130081300813007
50,The Black Maria,52.15,2026-03-24,290,62.15,2026-03-23,-16.090104585679807
51,"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,2026-03-24,171,19.990000000000002,2026-03-23,-30.015007503751885
51,"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,2026-03-24,251,22.990000000000002,2026-03-23,-39.147455415398
51,"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,2026-03-24,291,22.990000000000002,2026-03-23,-39.147455415398
52,Shakespeare's Sonnets,20.66,2026-03-24,132,22.66,2026-03-23,-8.8261253309797
52,Shakespeare's Sonnets,20.66,2026-03-24,172,22.66,2026-03-23,-8.8261253309797
52,Shakespeare's Sonnets,20.66,2026-03-24,292,21.66,2026-03-23,-4.616805170821791
52,Shakespeare's Sonnets,20.66,2026-03-24,492,28.66,2026-03-23,-27.91346824842987
53,Set Me Free,17.46,2026-03-24,213,22.46,2026-03-23,-22.261798753339267
53,Set Me Free,17.46,2026-03-24,493,20.46,2026-03-23,-14.662756598240467
54,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,2026-03-24,134,55.29,2026-03-23,-5.425935973955507
54,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,2026-03-24,174,55.29,2026-03-23,-5.425935973955507
54,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,2026-03-24,294,62.29,2026-03-23,-16.05394124257505
55,Rip it Up and Start Again,35.02,2026-03-24,135,45.02,2026-03-23,-22.21235006663705
55,Rip it Up and Start Again,35.02,2026-03-24,255,37.02,2026-03-23,-5.4024851431658565
56,"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25,2026-03-24,296,64.25,2026-03-23,-10.894941634241246
57,Olio,23.88,2026-03-24,137,26.88,2026-03-23,-11.160714285714286
58,Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,2026-03-24,138,40.59,2026-03-23,-7.390983000739097
59,Libertarianism for Beginners,51.33,2026-03-24,179,53.33,2026-03-23,-3.750234389649353
59,Libertarianism for Beginners,51.33,2026-03-24,259,57.33,2026-03-23,-10.465724751439037
60,It's Only the Himalayas,45.17,2026-03-24,220,54.17,2026-03-23,-16.614362193095808
60,It's Only the Himalayas,45.17,2026-03-24,300,50.17,2026-03-23,-9.966115208291807
61,A Light in the Attic,51.77,2026-03-24,201,59.77,2026-03-23,-13.384641124309853
61,A Light in the Attic,51.77,2026-03-24,481,54.77,2026-03-23,-5.477451159393828
62,Tipping the Velvet,53.74,2026-03-24,202,57.74,2026-03-23,-6.927606511950121
62,Tipping the Velvet,53.74,2026-03-24,282,62.74,2026-03-23,-14.344915524386357
62,Tipping the Velvet,53.74,2026-03-24,482,61.74,2026-03-23,-12.957563977972143
63,Soumission,50.1,2026-03-24,123,51.1,2026-03-23,-1.9569471624266144
